"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Investment property with negative gearing and loan options","3","0","","0"
"0","","0","Savings allocation phases and investment options","3","0","","0"
"0","","0","Superannuation projections and retirement income calculations","3","0","","0"
"0","","0","Results page display, charts and wealth breakdown","3","0","","0"
"0","","0","Help to Buy eligibility across Australian states","4","0","","0"
"0","","0","First Home Owner Grant eligibility across Australian states","3","0","","0"
"0","","0","Property Owner stream navigation and landing page","3","0","","0"
"0","","0","Personal details and income entry for single and couple scenarios","3","0","","0"
"0","","0","Primary mortgage and offset account calculations","3","0","","0"
"0","","0","Children education costs and novated lease tax benefits","2","0","","0"
"0","","0","Stamp duty calculation for Queensland first home buyers","2","0","","0"
